"PP10m","PP5m","PP3m","PP1m","FF10m","FF5m","FF3m","FF1m"
251893.882326832,125942.211795644,75856.6875416083,25674.5035618572,9782.50119161171,6440.36582733671,4379.98440127984,1864.47378269102
125942.211795644,129205.218840507,77273.8618173625,26152.658686994,6449.61396584042,3260.42996340656,2075.714197764,1116.60706903765
75856.6875416083,77273.8618173625,78565.0416398601,26218.49118864,4382.36452499863,2071.40778611761,1534.33653506285,839.167152063094
25674.5035618572,26152.658686994,26218.49118864,27092.1663434889,1864.75532626357,1113.32374034731,838.317536001515,484.526162096797
9782.50119161171,6449.61396584042,4382.36452499863,1864.75532626357,251738.995461667,125873.925762597,75815.7030286125,25664.263620923
6440.36582733671,3260.42996340656,2071.40778611761,1113.32374034731,125873.925762597,129133.916214446,77238.1659784983,26146.9992574411
4379.98440127984,2075.714197764,1534.33653506285,838.317536001515,75815.7030286125,77238.1659784983,78532.2530514074,26211.3029003807
1864.47378269102,1116.60706903765,839.167152063094,484.526162096797,25664.263620923,26146.9992574411,26211.3029003807,27084.549898734


2507.56797788706,1252.91090863091,753.364853638893,251.866429812304,-2484.08526140923,-1244.96830768067,-748.966086982636,-250.443508245668


33218
