"PP10m","PP5m","PP3m","PP1m","FF10m","FF5m","FF3m","FF1m"
273582.236769305,136782.942038293,83461.935445071,28373.2613998812,5840.02950373841,2461.51146239471,2226.83462131255,1616.99283477478
136782.942038293,136671.919535952,81543.3918261665,28022.3650831595,2453.01180071141,-121.676014559832,876.650034124641,1632.04547792913
83461.935445071,81543.3918261665,84466.6616140487,28040.8505789186,2226.30607025239,875.459005804794,2938.39701308288,1924.51120188204
28373.2613998812,28022.3650831595,28040.8505789186,29665.7715713335,1620.89716647709,1630.95894776823,1924.93724359801,640.277378643453
5840.02950373841,2453.01180071141,2226.30607025239,1620.89716647709,273213.669033322,136620.572569318,83365.9559454815,28343.779045926
2461.51146239471,-121.676014559832,875.459005804794,1630.95894776823,136620.572569318,136540.568981716,81470.8705042281,27993.2789916356
2226.83462131255,876.650034124641,2938.39701308288,1924.93724359801,83365.9559454815,81470.8705042281,84396.247401923,28019.4564937918
1616.99283477478,1632.04547792913,1924.51120188204,640.277378643453,28343.779045926,27993.2789916356,28019.4564937918,29639.6583772919


1653.83251774777,825.109746161952,496.317509907908,165.604698458035,-1667.58229541914,-828.444552313596,-497.408964663429,-166.057528501456


29208
